-9.641493950741677565e+01,-1.231414910454410006e+02,-1.268119414092813173e+02
7.871990812949899663e+00,2.025416654228066804e+01,2.168309808474482736e+01
7.003072801967718419e+00,1.155452045594167032e+01,1.222725163675040783e+01
6.060260876129710539e+00,7.968278036059528446e+00,8.286287198909246143e+00
5.115823130242635131e+00,5.840924606837659461e+00,5.991265930157434028e+00
4.217213881463582226e+00,4.394924197813672606e+00,4.466222931650403183e+00
3.389210119415845934e+00,3.322830080167088695e+00,3.356507053876609969e+00
2.644845049019566297e+00,2.491131581667533901e+00,2.507048580391206372e+00
1.985713699209764371e+00,1.817971892862031646e+00,1.825363176942469190e+00
1.409963501287584853e+00,1.262733588823712338e+00,1.266133702116903903e+00
9.105659586667886884e-01,7.938690958354345240e-01,7.953268733392755419e-01
4.813309766550702973e-01,3.963169750668025237e-01,3.968992506201353132e-01
1.137554113747801243e-01,5.520844775100369750e-02,5.535036065865040628e-02
-1.980890318257298999e-01,-2.354612323011530117e-01,-2.354911515205156680e-01
-4.614757605486716763e-01,-4.839161888982556059e-01,-4.840426767489471871e-01
-6.806925998476530681e-01,-6.925599183949717741e-01,-6.927030842828116874e-01
-8.613129590166785921e-01,-8.667266122709096354e-01,-8.668878731063692777e-01
-1.006039642215721397e+00,-1.007345352811180872e+00,-1.007491919929659696e+00
-1.119116152349954429e+00,-1.118458529061277407e+00,-1.118605256260149172e+00
-1.202158860637035698e+00,-1.200438088320016972e+00,-1.200565634794625858e+00
-1.258619181657805619e+00,-1.256779714862615638e+00,-1.256903039671164235e+00
-1.289519862815423412e+00,-1.287711275482752438e+00,-1.287816105893314633e+00
-1.297955399364929097e+00,-1.296543467675157268e+00,-1.296642673505183474e+00
-1.284699702222301232e+00,-1.283540330700143173e+00,-1.283622380313438338e+00
-1.252762160857591400e+00,-1.251997226285253895e+00,-1.252072963387171445e+00
-1.202854735544307552e+00,-1.202274222104497525e+00,-1.202334054070268055e+00
-1.138036547313115765e+00,-1.137720345432455371e+00,-1.137773562540189909e+00
-1.059024263809050792e+00,-1.058782782602642136e+00,-1.058821336443753314e+00
-9.689670162037520296e-01,-9.688743229145537761e-01,-9.689063279125968986e-01
-8.685752921971485740e-01,-8.684809583710593195e-01,-8.684996523098927890e-01
-7.610728409574828435e-01,-7.610561927475172350e-01,-7.610688251358168621e-01
-6.471073095983286283e-01,-6.470514994609843917e-01,-6.470524059171267606e-01
-5.299358531323803412e-01,-5.299225709368556858e-01,-5.299183605514143913e-01
-4.100579858679352929e-01,-4.099941283189049157e-01,-4.099800768466832501e-01
-2.907164531381264405e-01,-2.906815460862490763e-01,-2.906637527556934497e-01
-1.721747801294404301e-01,-1.720929601268567644e-01,-1.720676104234690751e-01
-5.761929512426361422e-02,-5.756879089344046213e-02,-5.754187326666297675e-02
5.305795876628241481e-02,5.313884650499446638e-02,5.317016222520744295e-02
1.566999715240067759e-01,1.567338802824058686e-01,1.567634251575359405e-01
2.539455844351603542e-01,2.539812833689464866e-01,2.540105809827007954e-01
3.415803232196402139e-01,3.415397937383791716e-01,3.415619159583982434e-01
4.210655493843570296e-01,4.209929584707833294e-01,4.210086121479856835e-01
4.887076394542402280e-01,4.885326659630568891e-01,4.885369955794628960e-01
5.480504645284649534e-01,5.478667747281544820e-01,5.478722306780177131e-01
5.990118740026579847e-01,5.990966362618013186e-01,5.991303430327357127e-01
6.269666437678076409e-01,6.272705946474429473e-01,6.273270669185493364e-01
6.509890936972696496e-01,6.511768548740552998e-01,6.512235126161128873e-01
6.619829549618374553e-01,6.621267426273196310e-01,6.621625152138358450e-01
6.621910360998041201e-01,6.622555112872114957e-01,6.622780483564201237e-01
6.510682483233480866e-01,6.511132686763495547e-01,6.511269367031272681e-01
6.296823808596399008e-01,6.296813727844697839e-01,6.296848769959025871e-01
5.985152631538106505e-01,5.985168908857160242e-01,5.985134521220725201e-01
5.584056633001408532e-01,5.583813061470562777e-01,5.583691428665038536e-01
5.104101256391218033e-01,5.103987810569576844e-01,5.103804462269545539e-01
4.553109126445454846e-01,4.552830184271793312e-01,4.552568001476330339e-01
3.944966436523976716e-01,3.944843964017652471e-01,3.944526074972622420e-01
3.287529215842922570e-01,3.287257566536705977e-01,3.286868238528292130e-01
2.597149542297946256e-01,2.597016859497618402e-01,2.596579385688995156e-01
1.880668843288383907e-01,1.880392722146901341e-01,1.879895272202977974e-01
1.155909331177679689e-01,1.155754962330358959e-01,1.155221334917040932e-01
4.285744550281460341e-02,4.282791380301712025e-02,4.277002699706453082e-02
-2.830405746106239018e-02,-2.832268065929903836e-02,-2.838268106712382027e-02
-9.750089726141977775e-02,-9.753275727516727556e-02,-9.759553800155698622e-02
-1.629288636792245448e-01,-1.629502359566582792e-01,-1.630133866767719542e-01
-2.244227915063476964e-01,-2.244557942801215233e-01,-2.245197985519110095e-01
